offer_id	organization_id	discount	recommended_revenue	recommended_pid	recommended_pid_name	physical_channel	published_revenue	new_potential_revenue	shipments	wps	product_cluster	industry_code	contactrole	reason_for_lead	lead_source_type	primary_competitor
CL_O_115469545918	DHL CL	61.00000000000001	171.8025882352941	NULL	TDI_57%	NULL	375.12	60.06	12	25.0	TDImport	CSMRCSDU	Influencer	Cash Customer	CSV	FedEx
CL_O_113636390672	DHL CL	60.00442747147463	131.92279411764707	NULL	TDD_33%	NULL	196.899	92.4	300	0.5	TDDom	TECHCSEL	Influencer	Cash Customer	CSV	Chile Express
CL_O_115469611290	DHL CL	40.00046645054457	17.81064705882353	NULL	TDI_35%	NULL	25.7262	15.42	1	10.0	TDImport	PROFCLPS	Influencer	Campaign	Liveball	Other
CL_O_115470062692	DHL CL	45.0	33.80505882352941	NULL	TDI_38%	NULL	51.192	28.08	2	20.0	TDImport	FASHFASH	Influencer	Cash Customer	CSV	Other
CL_O_115476838256	DHL CL	35.07203179334327	11.05394117647059	NULL	TDI_FTB1801	NULL	14.4936	27.0	1	20.0	TDImport	ENGMINDE	Influencer	Cash Customer	CSV	NULL
CL_O_115476889826	DHL CL	59.999882654587914	222.15661764705882	NULL	TDI_59%	NULL	511.311	315.0	5	50.0	TDImport	LSHEMEDD	Influencer	Cash Customer	CSV	Freight Forwarder
CL_O_113263109193	DHL CL	59.99973473745639	190.02970588235294	NULL	TDI_58%	NULL	452.382	132.0	10	20.0	TDImport	OTHROTHR	Influencer	New Customer - New Business	ISL	Other
CL_O_115478309317	DHL CL	30.001323559232915	55.95255882352941	NULL	TDD_23%	NULL	72.6650294117647	24.0	40	4.0	TDDom	CSMRCSDU	Influencer	Campaign	Liveball	Chile Express
CL_O_115478316510	DHL CL	50.000293363530226	61.77044117647059	NULL	TDI_43%	NULL	102.2622	60.0	1	50.0	TDImport	TECHCSEL	Influencer	Cash Customer	CSV	Other
CL_O_115478637536	DHL CL	26.995384442192957	12.37005882352941	NULL	TDE_27%	NULL	15.9894	15.0	4	0.5	TDExport	CSMRCSDU	Influencer	Cash Customer	CSV	Other
CL_O_113625944417	DHL CL	45.01949951251219	42.83629411764706	NULL	TDI_FTB1803	NULL	73.848	24.0	2	30.0	TDImport	AUTOARFF	Influencer	Cash Customer	CSV	NULL
CL_O_115480062543	DHL CL	39.99113743965297	49.07991176470588	NULL	TDI_FTB1803	NULL	77.1786	84.0	3	10.0	TDImport	AUTOCM12	Influencer	Cash Customer	CSV	NONE
CL_O_113625667401	DHL CL	45.000592046281106	58.64664705882353	NULL	TDI_43%	NULL	106.4106	115.74	3	25.0	TDImport	PROFCLPS	Influencer	Consignee	ISL	Other
CL_O_115492426798	DHL CL	25.0	6.075176470588235	NULL	TDE_25%	NULL	7.7256	14.04	1	4.0	TDExport	FASHFASH	Influencer	Cash Customer	CSV	Other
CL_O_115468993092	DHL CL	54.99979464552885	111.09829411764706	NULL	TDI_49%	NULL	204.5244	78.0	2	50.0	TDImport	ENGMINDE	Influencer	Cash Customer	CSV	Other
CL_O_115492539209	DHL CL	24.999592727746645	51.34632352941176	NULL	TDD_21%	NULL	64.99482352941178	48.0	30	5.0	TDDom	CSMRFMCG	Influencer	Campaign	Liveball	Other
